location,continent,location,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,new_tests_per_thousand,tests_per_case,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality,excess_mortality_cumulative_per_million
Afghanistan,0,0,0,0,3,28,28,77,1087,1087,1082,1087,948,1087,1080,996,1000,1007,1087,381,381,45,0,0,0,0,0,1087,0,0,1087,1087,0,0,0,0,0,1087,1087
Africa,1098,0,0,1,0,24,0,1098,1098,1098,1098,1098,1098,633,341,341,341,366,633,341,341,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,0,1098,1098
Albania,0,0,0,13,13,15,15,71,1086,1086,366,366,256,1007,914,810,863,873,1007,351,351,45,0,0,0,0,0,0,0,0,0,0,1086,0,0,0,0,1054,1054
Algeria,0,0,0,0,0,16,16,69,262,1086,1085,1086,1086,1075,1083,1058,1059,1063,1075,503,503,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075,1075
Andorra,0,0,0,0,0,20,21,64,1080,1080,1004,1080,560,1060,1078,1022,1027,1033,1060,388,388,45,0,1080,1080,1080,1080,1080,0,0,0,0,1080,1080,0,0,0,1058,1058
Angola,0,0,0,0,0,9,10,126,1062,1062,1032,1057,968,1034,1062,974,977,985,1034,391,391,45,0,0,0,0,0,1062,0,0,1062,1062,0,1062,0,0,0,1062,1062
Anguilla,0,0,0,0,0,542,543,1054,1054,1054,1052,1054,960,1026,1053,987,987,999,1026,318,318,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,0,1054,0,1054,1054
Antigua and Barbuda,0,0,0,0,2,25,25,242,1069,1069,1057,1069,813,1068,1059,974,975,987,1068,492,492,1069,0,0,0,0,0,1069,0,0,1069,1069,1069,0,0,0,0,1047,1047
Argentina,0,0,0,62,63,67,68,123,494,1141,271,271,277,366,367,366,366,366,366,367,367,66,0,0,0,0,0,0,0,0,0,0,1141,0,0,0,0,1129,1129
Armenia,0,0,0,27,27,52,53,89,1108,1108,271,271,290,1094,1108,1060,1063,1067,1094,691,691,1108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1074,1074
