year,month,continent,location,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
2020,1,85,0,0,98,101,295,245,323,341,339,224,228,224,228,262,262,281,309,216,341,341,341,341,341,341,341,341,341,341,341,341,341,155,91,75,91,75,91,155,94,101,110,110,247,110,75,101,0,322,322,322,322
2020,2,316,0,0,293,291,1168,1064,1463,1529,1533,1219,1253,1219,1253,1122,1122,1281,1361,992,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547,347,316,289,318,293,317,688,347,345,405,405,1200,378,287,347,23,1452,1452,1452,1452
2020,3,403,0,0,264,269,2833,2813,3509,4669,4507,3504,3599,3504,3599,3579,3579,3785,3842,3211,5027,5027,5027,5027,5027,5027,5027,5027,5027,5027,5027,5027,5027,908,534,772,813,803,829,2234,834,655,1608,1655,3225,1157,467,903,31,4743,4743,4743,4743
2020,4,390,0,0,297,307,1660,1664,2919,5818,5683,4128,4242,4128,4242,3946,3946,4168,4256,3760,6661,6661,6661,6661,6661,6661,6661,6661,6661,6661,6661,6661,6661,1454,738,1129,1189,1159,1248,3104,1162,919,2499,2559,4004,1755,510,1338,30,6408,6408,6408,6408
2020,5,403,0,0,335,351,1349,1356,2331,6137,5966,4138,4222,4138,4222,3805,3805,4091,4172,3727,7019,7019,7019,7019,7019,7019,7019,7019,7019,7019,7019,7019,7019,1575,775,1203,1265,1234,1302,3249,1209,961,2660,2722,4154,1848,527,1395,31,6719,6719,6719,6719
2020,6,390,0,0,330,337,1200,1208,1892,5971,5813,3859,3933,3859,3933,3486,3486,3783,3862,3442,6810,6810,6810,6810,6810,6810,6810,6810,6810,6810,6810,6810,6810,1530,750,1170,1230,1200,1260,3150,1170,930,2580,2640,4020,1800,510,1350,30,6556,6556,6556,6556
2020,7,403,0,0,341,346,1182,1194,1754,6115,6013,3942,4014,3942,4014,3523,3523,3831,3886,3491,7037,7037,7037,7037,7037,7037,7037,7037,7037,7037,7037,7037,7037,1581,775,1209,1271,1240,1302,3255,1209,961,2666,2728,4154,1860,527,1395,31,6783,6783,6783,6783
2020,8,403,0,0,341,348,1054,1064,1610,6052,5947,3877,3926,3877,3926,3457,3457,3774,3801,3434,7037,7037,7037,7037,7037,7037,7037,7037,7037,7037,7037,7037,7037,1581,775,1209,1271,1240,1302,3255,1209,961,2666,2728,4154,1860,527,1395,31,6737,6737,6737,6737
2020,9,390,0,0,330,333,1009,1016,1551,5848,5774,3808,3876,3808,3876,3308,3308,3606,3611,3274,6834,6834,6834,6834,6834,6834,6834,6834,6834,6834,6834,6834,6834,1554,774,1194,1254,1224,1284,3174,1194,954,2604,2664,4044,1824,510,1374,30,6581,6581,6581,6581
2020,10,403,0,0,337,337,1056,1063,1614,6087,6001,3954,4019,3954,4019,3421,3421,3714,3728,3378,7101,7101,7101,7101,7101,7101,7101,7101,7101,7101,7101,7101,7101,1625,819,1253,1315,1284,1346,3299,1253,1005,2730,2792,4198,1904,527,1439,31,6848,6848,6848,6848
